"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ID","Indonesia","SEARO",0,0,0,0
"2020-01-04","ID","Indonesia","SEARO",0,0,0,0
"2020-01-05","ID","Indonesia","SEARO",0,0,0,0
"2020-01-06","ID","Indonesia","SEARO",0,0,0,0
"2020-01-07","ID","Indonesia","SEARO",0,0,0,0
"2020-01-08","ID","Indonesia","SEARO",0,0,0,0
"2020-01-09","ID","Indonesia","SEARO",0,0,0,0
"2020-01-10","ID","Indonesia","SEARO",0,0,0,0
"2020-01-11","ID","Indonesia","SEARO",0,0,0,0
"2020-01-12","ID","Indonesia","SEARO",0,0,0,0
"2020-01-13","ID","Indonesia","SEARO",0,0,0,0
"2020-01-14","ID","Indonesia","SEARO",0,0,0,0
"2020-01-15","ID","Indonesia","SEARO",0,0,0,0
"2020-01-16","ID","Indonesia","SEARO",0,0,0,0
"2020-01-17","ID","Indonesia","SEARO",0,0,0,0
"2020-01-18","ID","Indonesia","SEARO",0,0,0,0
"2020-01-19","ID","Indonesia","SEARO",0,0,0,0
"2020-01-20","ID","Indonesia","SEARO",0,0,0,0
"2020-01-21","ID","Indonesia","SEARO",0,0,0,0
"2020-01-22","ID","Indonesia","SEARO",0,0,0,0
"2020-01-23","ID","Indonesia","SEARO",0,0,0,0
"2020-01-24","ID","Indonesia","SEARO",0,0,0,0
"2020-01-25","ID","Indonesia","SEARO",0,0,0,0
"2020-01-26","ID","Indonesia","SEARO",0,0,0,0
"2020-01-27","ID","Indonesia","SEARO",0,0,0,0
"2020-01-28","ID","Indonesia","SEARO",0,0,0,0
"2020-01-29","ID","Indonesia","SEARO",0,0,0,0
"2020-01-30","ID","Indonesia","SEARO",0,0,0,0
"2020-01-31","ID","Indonesia","SEARO",0,0,0,0
"2020-02-01","ID","Indonesia","SEARO",0,0,0,0
"2020-02-02","ID","Indonesia","SEARO",0,0,0,0
"2020-02-03","ID","Indonesia","SEARO",0,0,0,0
"2020-02-04","ID","Indonesia","SEARO",0,0,0,0
"2020-02-05","ID","Indonesia","SEARO",0,0,0,0
"2020-02-06","ID","Indonesia","SEARO",0,0,0,0
"2020-02-07","ID","Indonesia","SEARO",0,0,0,0
"2020-02-08","ID","Indonesia","SEARO",0,0,0,0
"2020-02-09","ID","Indonesia","SEARO",0,0,0,0
"2020-02-10","ID","Indonesia","SEARO",0,0,0,0
"2020-02-11","ID","Indonesia","SEARO",0,0,0,0
"2020-02-12","ID","Indonesia","SEARO",0,0,0,0
"2020-02-13","ID","Indonesia","SEARO",0,0,0,0
"2020-02-14","ID","Indonesia","SEARO",0,0,0,0
"2020-02-15","ID","Indonesia","SEARO",0,0,0,0
"2020-02-16","ID","Indonesia","SEARO",0,0,0,0
"2020-02-17","ID","Indonesia","SEARO",0,0,0,0
"2020-02-18","ID","Indonesia","SEARO",0,0,0,0
"2020-02-19","ID","Indonesia","SEARO",0,0,0,0
"2020-02-20","ID","Indonesia","SEARO",0,0,0,0
"2020-02-21","ID","Indonesia","SEARO",0,0,0,0
"2020-02-22","ID","Indonesia","SEARO",0,0,0,0
"2020-02-23","ID","Indonesia","SEARO",0,0,0,0
"2020-02-24","ID","Indonesia","SEARO",0,0,0,0
"2020-02-25","ID","Indonesia","SEARO",0,0,0,0
"2020-02-26","ID","Indonesia","SEARO",0,0,0,0
"2020-02-27","ID","Indonesia","SEARO",0,0,0,0
"2020-02-28","ID","Indonesia","SEARO",0,0,0,0
"2020-02-29","ID","Indonesia","SEARO",0,0,0,0
"2020-03-01","ID","Indonesia","SEARO",0,0,0,0
"2020-03-02","ID","Indonesia","SEARO",6,6,0,0
"2020-03-03","ID","Indonesia","SEARO",0,6,0,0
"2020-03-04","ID","Indonesia","SEARO",0,6,0,0
"2020-03-05","ID","Indonesia","SEARO",0,6,0,0
"2020-03-06","ID","Indonesia","SEARO",2,8,0,0
"2020-03-07","ID","Indonesia","SEARO",0,8,0,0
"2020-03-08","ID","Indonesia","SEARO",2,10,0,0
"2020-03-09","ID","Indonesia","SEARO",0,10,0,0
"2020-03-10","ID","Indonesia","SEARO",13,23,0,0
"2020-03-11","ID","Indonesia","SEARO",8,31,1,1
"2020-03-12","ID","Indonesia","SEARO",7,38,0,1
"2020-03-13","ID","Indonesia","SEARO",35,73,3,4
"2020-03-14","ID","Indonesia","SEARO",0,73,0,4
"2020-03-15","ID","Indonesia","SEARO",48,121,0,4
"2020-03-16","ID","Indonesia","SEARO",55,176,1,5
"2020-03-17","ID","Indonesia","SEARO",0,176,0,5
"2020-03-18","ID","Indonesia","SEARO",55,231,14,19
"2020-03-19","ID","Indonesia","SEARO",78,309,6,25
"2020-03-20","ID","Indonesia","SEARO",60,369,7,32
"2020-03-21","ID","Indonesia","SEARO",81,450,6,38
"2020-03-22","ID","Indonesia","SEARO",64,514,10,48
"2020-03-23","ID","Indonesia","SEARO",65,579,1,49
"2020-03-24","ID","Indonesia","SEARO",0,579,0,49
"2020-03-25","ID","Indonesia","SEARO",211,790,9,58
"2020-03-26","ID","Indonesia","SEARO",103,893,20,78
"2020-03-27","ID","Indonesia","SEARO",153,1046,9,87
"2020-03-28","ID","Indonesia","SEARO",0,1046,0,87
"2020-03-29","ID","Indonesia","SEARO",239,1285,27,114
"2020-03-30","ID","Indonesia","SEARO",129,1414,8,122
"2020-03-31","ID","Indonesia","SEARO",114,1528,14,136
"2020-04-01","ID","Indonesia","SEARO",149,1677,21,157
"2020-04-02","ID","Indonesia","SEARO",113,1790,13,170
"2020-04-03","ID","Indonesia","SEARO",196,1986,11,181
"2020-04-04","ID","Indonesia","SEARO",106,2092,10,191
"2020-04-05","ID","Indonesia","SEARO",181,2273,7,198
"2020-04-06","ID","Indonesia","SEARO",218,2491,11,209
"2020-04-07","ID","Indonesia","SEARO",247,2738,12,221
"2020-04-08","ID","Indonesia","SEARO",218,2956,19,240
"2020-04-09","ID","Indonesia","SEARO",337,3293,40,280
"2020-04-10","ID","Indonesia","SEARO",219,3512,26,306
"2020-04-11","ID","Indonesia","SEARO",330,3842,21,327
"2020-04-12","ID","Indonesia","SEARO",399,4241,46,373
"2020-04-13","ID","Indonesia","SEARO",316,4557,26,399
"2020-04-14","ID","Indonesia","SEARO",282,4839,60,459
"2020-04-15","ID","Indonesia","SEARO",297,5136,10,469
"2020-04-16","ID","Indonesia","SEARO",380,5516,27,496
"2020-04-17","ID","Indonesia","SEARO",407,5923,24,520
"2020-04-18","ID","Indonesia","SEARO",325,6248,15,535
"2020-04-19","ID","Indonesia","SEARO",327,6575,47,582
"2020-04-20","ID","Indonesia","SEARO",185,6760,8,590
"2020-04-21","ID","Indonesia","SEARO",375,7135,26,616
"2020-04-22","ID","Indonesia","SEARO",283,7418,19,635
"2020-04-23","ID","Indonesia","SEARO",357,7775,12,647
"2020-04-24","ID","Indonesia","SEARO",436,8211,42,689
"2020-04-25","ID","Indonesia","SEARO",396,8607,31,720
"2020-04-26","ID","Indonesia","SEARO",275,8882,23,743
"2020-04-27","ID","Indonesia","SEARO",214,9096,22,765
"2020-04-28","ID","Indonesia","SEARO",415,9511,8,773
"2020-04-29","ID","Indonesia","SEARO",260,9771,11,784
"2020-04-30","ID","Indonesia","SEARO",347,10118,8,792
