"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AM","Armenia","EURO",0,0,0,0
"2020-01-04","AM","Armenia","EURO",0,0,0,0
"2020-01-05","AM","Armenia","EURO",0,0,0,0
"2020-01-06","AM","Armenia","EURO",0,0,0,0
"2020-01-07","AM","Armenia","EURO",0,0,0,0
"2020-01-08","AM","Armenia","EURO",0,0,0,0
"2020-01-09","AM","Armenia","EURO",0,0,0,0
"2020-01-10","AM","Armenia","EURO",0,0,0,0
"2020-01-11","AM","Armenia","EURO",0,0,0,0
"2020-01-12","AM","Armenia","EURO",0,0,0,0
"2020-01-13","AM","Armenia","EURO",0,0,0,0
"2020-01-14","AM","Armenia","EURO",0,0,0,0
"2020-01-15","AM","Armenia","EURO",0,0,0,0
"2020-01-16","AM","Armenia","EURO",0,0,0,0
"2020-01-17","AM","Armenia","EURO",0,0,0,0
"2020-01-18","AM","Armenia","EURO",0,0,0,0
"2020-01-19","AM","Armenia","EURO",0,0,0,0
"2020-01-20","AM","Armenia","EURO",0,0,0,0
"2020-01-21","AM","Armenia","EURO",0,0,0,0
"2020-01-22","AM","Armenia","EURO",0,0,0,0
"2020-01-23","AM","Armenia","EURO",0,0,0,0
"2020-01-24","AM","Armenia","EURO",0,0,0,0
"2020-01-25","AM","Armenia","EURO",0,0,0,0
"2020-01-26","AM","Armenia","EURO",0,0,0,0
"2020-01-27","AM","Armenia","EURO",0,0,0,0
"2020-01-28","AM","Armenia","EURO",0,0,0,0
"2020-01-29","AM","Armenia","EURO",0,0,0,0
"2020-01-30","AM","Armenia","EURO",0,0,0,0
"2020-01-31","AM","Armenia","EURO",0,0,0,0
"2020-02-01","AM","Armenia","EURO",0,0,0,0
"2020-02-02","AM","Armenia","EURO",0,0,0,0
"2020-02-03","AM","Armenia","EURO",0,0,0,0
"2020-02-04","AM","Armenia","EURO",0,0,0,0
"2020-02-05","AM","Armenia","EURO",0,0,0,0
"2020-02-06","AM","Armenia","EURO",0,0,0,0
"2020-02-07","AM","Armenia","EURO",0,0,0,0
"2020-02-08","AM","Armenia","EURO",0,0,0,0
"2020-02-09","AM","Armenia","EURO",0,0,0,0
"2020-02-10","AM","Armenia","EURO",0,0,0,0
"2020-02-11","AM","Armenia","EURO",0,0,0,0
"2020-02-12","AM","Armenia","EURO",0,0,0,0
"2020-02-13","AM","Armenia","EURO",0,0,0,0
"2020-02-14","AM","Armenia","EURO",0,0,0,0
"2020-02-15","AM","Armenia","EURO",0,0,0,0
"2020-02-16","AM","Armenia","EURO",0,0,0,0
"2020-02-17","AM","Armenia","EURO",0,0,0,0
"2020-02-18","AM","Armenia","EURO",0,0,0,0
"2020-02-19","AM","Armenia","EURO",0,0,0,0
"2020-02-20","AM","Armenia","EURO",0,0,0,0
"2020-02-21","AM","Armenia","EURO",0,0,0,0
"2020-02-22","AM","Armenia","EURO",0,0,0,0
"2020-02-23","AM","Armenia","EURO",0,0,0,0
"2020-02-24","AM","Armenia","EURO",0,0,0,0
"2020-02-25","AM","Armenia","EURO",0,0,0,0
"2020-02-26","AM","Armenia","EURO",0,0,0,0
"2020-02-27","AM","Armenia","EURO",0,0,0,0
"2020-02-28","AM","Armenia","EURO",0,0,0,0
"2020-02-29","AM","Armenia","EURO",0,0,0,0
"2020-03-01","AM","Armenia","EURO",1,1,0,0
"2020-03-02","AM","Armenia","EURO",0,1,0,0
"2020-03-03","AM","Armenia","EURO",0,1,0,0
"2020-03-04","AM","Armenia","EURO",0,1,0,0
"2020-03-05","AM","Armenia","EURO",0,1,0,0
"2020-03-06","AM","Armenia","EURO",0,1,0,0
"2020-03-07","AM","Armenia","EURO",0,1,0,0
"2020-03-08","AM","Armenia","EURO",0,1,0,0
"2020-03-09","AM","Armenia","EURO",0,1,0,0
"2020-03-10","AM","Armenia","EURO",0,1,0,0
"2020-03-11","AM","Armenia","EURO",0,1,0,0
"2020-03-12","AM","Armenia","EURO",0,1,0,0
"2020-03-13","AM","Armenia","EURO",0,1,0,0
"2020-03-14","AM","Armenia","EURO",7,8,0,0
"2020-03-15","AM","Armenia","EURO",0,8,0,0
"2020-03-16","AM","Armenia","EURO",18,26,0,0
"2020-03-17","AM","Armenia","EURO",4,30,0,0
"2020-03-18","AM","Armenia","EURO",0,30,0,0
"2020-03-19","AM","Armenia","EURO",54,84,0,0
"2020-03-20","AM","Armenia","EURO",38,122,0,0
