"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","JO","Jordan","EMRO",0,0,0,0
"2020-01-04","JO","Jordan","EMRO",0,0,0,0
"2020-01-05","JO","Jordan","EMRO",0,0,0,0
"2020-01-06","JO","Jordan","EMRO",0,0,0,0
"2020-01-07","JO","Jordan","EMRO",0,0,0,0
"2020-01-08","JO","Jordan","EMRO",0,0,0,0
"2020-01-09","JO","Jordan","EMRO",0,0,0,0
"2020-01-10","JO","Jordan","EMRO",0,0,0,0
"2020-01-11","JO","Jordan","EMRO",0,0,0,0
"2020-01-12","JO","Jordan","EMRO",0,0,0,0
"2020-01-13","JO","Jordan","EMRO",0,0,0,0
"2020-01-14","JO","Jordan","EMRO",0,0,0,0
"2020-01-15","JO","Jordan","EMRO",0,0,0,0
"2020-01-16","JO","Jordan","EMRO",0,0,0,0
"2020-01-17","JO","Jordan","EMRO",0,0,0,0
"2020-01-18","JO","Jordan","EMRO",0,0,0,0
"2020-01-19","JO","Jordan","EMRO",0,0,0,0
"2020-01-20","JO","Jordan","EMRO",0,0,0,0
"2020-01-21","JO","Jordan","EMRO",0,0,0,0
"2020-01-22","JO","Jordan","EMRO",0,0,0,0
"2020-01-23","JO","Jordan","EMRO",0,0,0,0
"2020-01-24","JO","Jordan","EMRO",0,0,0,0
"2020-01-25","JO","Jordan","EMRO",0,0,0,0
"2020-01-26","JO","Jordan","EMRO",0,0,0,0
"2020-01-27","JO","Jordan","EMRO",0,0,0,0
"2020-01-28","JO","Jordan","EMRO",0,0,0,0
"2020-01-29","JO","Jordan","EMRO",0,0,0,0
"2020-01-30","JO","Jordan","EMRO",0,0,0,0
"2020-01-31","JO","Jordan","EMRO",0,0,0,0
"2020-02-01","JO","Jordan","EMRO",0,0,0,0
"2020-02-02","JO","Jordan","EMRO",0,0,0,0
"2020-02-03","JO","Jordan","EMRO",0,0,0,0
"2020-02-04","JO","Jordan","EMRO",0,0,0,0
"2020-02-05","JO","Jordan","EMRO",0,0,0,0
"2020-02-06","JO","Jordan","EMRO",0,0,0,0
"2020-02-07","JO","Jordan","EMRO",0,0,0,0
"2020-02-08","JO","Jordan","EMRO",0,0,0,0
"2020-02-09","JO","Jordan","EMRO",0,0,0,0
"2020-02-10","JO","Jordan","EMRO",0,0,0,0
"2020-02-11","JO","Jordan","EMRO",0,0,0,0
"2020-02-12","JO","Jordan","EMRO",0,0,0,0
"2020-02-13","JO","Jordan","EMRO",0,0,0,0
"2020-02-14","JO","Jordan","EMRO",0,0,0,0
"2020-02-15","JO","Jordan","EMRO",0,0,0,0
"2020-02-16","JO","Jordan","EMRO",0,0,0,0
"2020-02-17","JO","Jordan","EMRO",0,0,0,0
"2020-02-18","JO","Jordan","EMRO",0,0,0,0
"2020-02-19","JO","Jordan","EMRO",0,0,0,0
"2020-02-20","JO","Jordan","EMRO",0,0,0,0
"2020-02-21","JO","Jordan","EMRO",0,0,0,0
"2020-02-22","JO","Jordan","EMRO",0,0,0,0
"2020-02-23","JO","Jordan","EMRO",0,0,0,0
"2020-02-24","JO","Jordan","EMRO",0,0,0,0
"2020-02-25","JO","Jordan","EMRO",0,0,0,0
"2020-02-26","JO","Jordan","EMRO",0,0,0,0
"2020-02-27","JO","Jordan","EMRO",0,0,0,0
"2020-02-28","JO","Jordan","EMRO",0,0,0,0
"2020-02-29","JO","Jordan","EMRO",0,0,0,0
"2020-03-01","JO","Jordan","EMRO",0,0,0,0
"2020-03-02","JO","Jordan","EMRO",5,5,0,0
"2020-03-03","JO","Jordan","EMRO",0,5,0,0
"2020-03-04","JO","Jordan","EMRO",0,5,0,0
"2020-03-05","JO","Jordan","EMRO",0,5,0,0
"2020-03-06","JO","Jordan","EMRO",0,5,0,0
"2020-03-07","JO","Jordan","EMRO",0,5,0,0
"2020-03-08","JO","Jordan","EMRO",0,5,0,0
"2020-03-09","JO","Jordan","EMRO",0,5,0,0
"2020-03-10","JO","Jordan","EMRO",0,5,0,0
"2020-03-11","JO","Jordan","EMRO",0,5,0,0
"2020-03-12","JO","Jordan","EMRO",0,5,0,0
"2020-03-13","JO","Jordan","EMRO",0,5,0,0
"2020-03-14","JO","Jordan","EMRO",0,5,0,0
"2020-03-15","JO","Jordan","EMRO",5,10,0,0
"2020-03-16","JO","Jordan","EMRO",0,10,0,0
"2020-03-17","JO","Jordan","EMRO",29,39,0,0
"2020-03-18","JO","Jordan","EMRO",17,56,0,0
"2020-03-19","JO","Jordan","EMRO",4,60,0,0
"2020-03-20","JO","Jordan","EMRO",9,69,0,0
"2020-03-21","JO","Jordan","EMRO",15,84,0,0
"2020-03-22","JO","Jordan","EMRO",15,99,0,0
"2020-03-23","JO","Jordan","EMRO",13,112,0,0
"2020-03-24","JO","Jordan","EMRO",15,127,0,0
"2020-03-25","JO","Jordan","EMRO",26,153,0,0
"2020-03-26","JO","Jordan","EMRO",19,172,0,0
"2020-03-27","JO","Jordan","EMRO",40,212,0,0
"2020-03-28","JO","Jordan","EMRO",23,235,1,1
"2020-03-29","JO","Jordan","EMRO",11,246,0,1
"2020-03-30","JO","Jordan","EMRO",13,259,3,4
"2020-03-31","JO","Jordan","EMRO",9,268,1,5
"2020-04-01","JO","Jordan","EMRO",6,274,0,5
"2020-04-02","JO","Jordan","EMRO",4,278,0,5
"2020-04-03","JO","Jordan","EMRO",21,299,0,5
"2020-04-04","JO","Jordan","EMRO",11,310,0,5
"2020-04-05","JO","Jordan","EMRO",13,323,0,5
"2020-04-06","JO","Jordan","EMRO",22,345,0,5
"2020-04-07","JO","Jordan","EMRO",4,349,1,6
"2020-04-08","JO","Jordan","EMRO",4,353,0,6
"2020-04-09","JO","Jordan","EMRO",5,358,0,6
"2020-04-10","JO","Jordan","EMRO",14,372,1,7
"2020-04-11","JO","Jordan","EMRO",0,372,0,7
"2020-04-12","JO","Jordan","EMRO",9,381,0,7
"2020-04-13","JO","Jordan","EMRO",8,389,0,7
"2020-04-14","JO","Jordan","EMRO",2,391,0,7
"2020-04-15","JO","Jordan","EMRO",6,397,0,7
"2020-04-16","JO","Jordan","EMRO",4,401,0,7
"2020-04-17","JO","Jordan","EMRO",1,402,0,7
"2020-04-18","JO","Jordan","EMRO",5,407,0,7
"2020-04-19","JO","Jordan","EMRO",6,413,0,7
